objetID;dateReferentiel;route;longueur;ploD;absD;cumulD;xD;yD;zD;ploF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;CodeMacroSection;MacroSectionEquipee;NomStationRef;CodeSiredoStationRef;TypeStationRef;TypeStationRef_lib;DateStationRef;IndiceNational;sectionnement_gestionnaire
Obx54ySqFt_5853;01/01/2019;A0031;8696;57PR328D;100;327314;931560,93;6919226,24;0;57PR336D;800;336010;925693,43;6922613,81;0;I;0;ACCROCHE;A0031_M14;1;A31 - BEAUREGARD YUTZ;MZO57.S;2;QT, TT, VT, LC, VC;01/06/2020;1;DIRE
Obx54ySqFt_5854;01/01/2019;A0031;12305;57PR336D;800;336010;925693,43;6922613,81;0;FRD;0;348315;926268,72;6934824,63;0;I;0;ACCROCHE;A0031_M15;1;A31 - KANFEN;MZo57.2;2;QT, TT, VT, LC, VC;01/01/2014;1;DIRE
Obx54ySqFt_5855;01/01/2019;A0033;6323;54PR0D;0;0;929583,24;6848798,75;0;54PR6D;0;6323;931213,31;6843102,58;0;I;0;ACCROCHE;A0033_M1;1;A33 - CLAIRLIEU;MZE54.3;2;QT, TT, VT, LC, VC;01/01/2016;1;DIRE
Obx54ySqFt_5856;01/01/2019;A0033;4025;54PR6D;0;6323;931213,31;6843102,58;0;54PR10D;50;10348;934384,65;6841173,09;0;I;0;ACCROCHE;A0033_M2;1;A33 – CHAVIGNY;MZE54.H;2;QT, TT, VT, LC, VC;01/01/2014;0;DIRE
Obx54ySqFt_5857;01/01/2019;A0033;7468;54PR10D;50;10348;934384,65;6841173,09;0;54PR17D;500;17816;941416,43;6840308,46;0;I;0;ACCROCHE;A0033_M3;1;FLEVILLE2;MZE54.K;2;QT, TT, VT, LC, VC;01/07/2014;0;DIRE
Obx54ySqFt_5858;01/01/2019;A0033;8469;54PR17D;500;17816;941416,43;6840308,46;0;FRD;0;26285;948729,57;6839172,16;0;I;0;ACCROCHE;A0033_M4;1;ROSIERES AUX SALINES;MZE54.B;2;QT, TT, VT, LC, VC;01/01/2015;0;DIRE
Obx54ySqFt_5859;01/01/2019;A0034;15338;08PR17D;0;0;837624,02;6956714,63;0;08PR32D;463;15338;824095,01;6960947,32;0;I;0;ACCROCHE;A0034_M1;1;VIVIER;MZA08.1;2;QT, TT, VT, LC, VC;31/05/2009;1;DIRN
Obx54ySqFt_5860;01/01/2019;A0034;13202;08PR32D;463;15338;824095,01;6960947,32;0;08PR45D;514;28540;817664,67;6950632,05;0;I;0;ACCROCHE;A0034_M2;1;YVERNAUMONT;MZA08.C;2;QT, TT, VT, LC, VC;31/10/2015;0;DIRN
Obx54ySqFt_5861;01/01/2019;A0034;21755;08PR45D;514;28540;817664,67;6950632,05;0;DD08PR67D;0;50295;802538,3;6937218,98;0;I;0;ACCROCHE;A0034_M3;1;FAISSAULT;MZA08.2;2;QT, TT, VT, LC, VC;26/06/2015;0;DIRN
Obx54ySqFt_5862;01/01/2019;A0035;14191;67PR202D;0;0;1076648,39;6886104,76;0;67PR215D;940;14191;1070628,73;6873595,06;0;I;0;ACCROCHE;A0035_M1;1;LAUTERBOURG;MZB67.6;3;QT, TT, VT, LC, VC, KC;01/06/2015;0;DIRE
