"objetID";"dateReferentiel";"route";"longueur";"prD";"depPrD";"concessionPrD";"absD";"cumulD";"xD";"yD";"zD";"prF";"depPrF";"concessionPrF";"absF";"cumulF";"xF";"yF";"zF";"cote";"voie";"accrochage";"CodeMacroSection";"MacroSectionEquipee";"NomStationRef";"CodeSiredoStationRef";"TypeStationRef";"TypeStationRef_lib";"DateStationRef";"IndiceNational";"sectionnement_gestionnaire"
"Obx54ySqFt_5835";"2019-01-01";"A0028";"54995";"0";"80";"N";"0";"0";"616025,79";"7004300,95";"0";"55";"76";"N";"0";"54995";"590186,64";"6962000,35";"0";"I";"0";"ACCROCHE";"A0028_M1";"1";"ABBEVILLE";"MLS80.1";"3";"QT, TT, VT, LC, VC, KC";"2016-12-01";"0";"DIRNO"
"Obx54ySqFt_5836";"2019-01-01";"A0028";"20019";"55";"76";"N";"0";"54995";"590186,64";"6962000,35";"0";"75";"76";"N";"0";"75014";"574665,95";"6951275,15";"0";"I";"0";"ACCROCHE";"A0028_M3";"1";"MAUCOMBLE";"MUM76.2";"3";"QT, TT, VT, LC, VC, KC";"2016-12-01";"0";"DIRNO"
"Obx54ySqFt_5837";"2019-01-01";"A0028";"22418";"75";"76";"N";"0";"75014";"574665,95";"6951275,15";"0";"97";"76";"N";"358";"97432";"565662,56";"6933861,55";"0";"I";"0";"ACCROCHE";"A0028_M4";"1";"QUINCAMPOIX";"MUM76.Y";"2";"QT, TT, VT, LC, VC";"2010-06-01";"1";"DIRNO"
"Obx54ySqFt_5838";"2019-01-01";"A0030";"4155";"0";"57";"N";"0";"0";"930859,2";"6914134,52";"0";"4";"57";"N";"250";"4155";"927451,64";"6916251,79";"0";"I";"0";"ACCROCHE";"A0030_M1";"1";"UCKANGE";"MZO57.2";"2";"QT, TT, VT, LC, VC";"2019-06-01";"1";"DIRE"
"Obx54ySqFt_5839";"2019-01-01";"A0030";"17251";"4";"57";"N";"250";"4155";"927451,64";"6916251,79";"0";"21";"57";"N";"360";"21406";"915462,8";"6924916";"0";"I";"0";"ACCROCHE";"A0030_M2";"1";"HAYANGE";"MZO57.1";"2";"QT, TT, VT, LC, VC";"2015-01-01";"1";"DIRE"
"Obx54ySqFt_5840";"2019-01-01";"A0030";"4889";"21";"57";"N";"360";"21406";"915462,8";"6924916";"0";"26";"57";"N";"429";"26295";"911771,96";"6927917,52";"0";"I";"0";"ACCROCHE";"A0030_M3";"1";"A30 - AUMETZ";"MZ557.5";"2";"QT, TT, VT, LC, VC";"2010-06-07";"0";"DIRE"
"Obx54ySqFt_5841";"2019-01-01";"A0031";"4146";"229";"54";"N";"0";"228869";"912368,53";"6843072,16";"0";"233";"54";"N";"600";"233015";"915102,29";"6845762,03";"0";"I";"0";"ACCROCHE";"A0031_M1";"1";"VALCOURT";"MZE54.6";"2";"QT, TT, VT, LC, VC";"2013-01-01";"0";"DIRE"
"Obx54ySqFt_5842";"2019-01-01";"A0031";"15250";"233";"54";"N";"600";"233015";"915102,29";"6845762,03";"0";"249";"54";"N";"0";"248265";"929579,66";"6848751,38";"0";"I";"0";"ACCROCHE";"A0031_M2";"1";"A31 - LES BARAQUES";"MZE54.8";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRE"
"Obx54ySqFt_5843";"2019-01-01";"A0031";"8344";"249";"54";"N";"0";"248265";"929579,66";"6848751,38";"0";"257";"54";"N";"450";"256609";"932052,54";"6854730,82";"0";"I";"0";"ACCROCHE";"A0031_M3";"1";"A31 - CHAMPIGNEULLES";"MZE54.1";"2";"QT, TT, VT, LC, VC";"2020-06-01";"1";"DIRE"
"Obx54ySqFt_5844";"2019-01-01";"A0031";"8946";"257";"54";"N";"450";"256609";"932052,54";"6854730,82";"0";"266";"54";"N";"400";"265555";"928460,48";"6861684,8";"0";"I";"0";"ACCROCHE";"A0031_M4";"1";"A31 CUSTINES";"MZE54.9";"2";"QT, TT, VT, LC, VC";"2018-10-01";"1";"DIRE"
"Obx54ySqFt_5845";"2019-01-01";"A0031";"8406";"266";"54";"N";"400";"265555";"928460,48";"6861684,8";"0";"274";"54";"N";"800";"273961";"927097,17";"6869510,35";"0";"I";"0";"ACCROCHE";"A0031_M5";"1";"A31 - AUTREVILLE";"MZE54.7";"2";"QT, TT, VT, LC, VC";"2018-02-01";"1";"DIRE"
"Obx54ySqFt_5846";"2019-01-01";"A0031";"5748";"274";"54";"N";"800";"273961";"927097,17";"6869510,35";"0";"280";"54";"N";"550";"279709";"927954,17";"6875146,36";"0";"I";"0";"ACCROCHE";"A0031_M6";"0";"A31 – LESMENILS";"";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRE"
"Obx54ySqFt_5847";"2019-01-01";"A0031";"11419";"280";"54";"N";"550";"279709";"927954,17";"6875146,36";"0";"291";"57";"N";"950";"291128";"927564,7";"6886355,52";"0";"I";"0";"ACCROCHE";"A0031_M7";"1";"A31 - FEY";"MZ057.5 / MZo57.5";"2";"QT, TT, VT, LC, VC";"2019-06-01";"1";"DIRE"
"Obx54ySqFt_5848";"2019-01-01";"A0031";"5053";"291";"57";"N";"950";"291128";"927564,7";"6886355,52";"0";"297";"57";"N";"0";"296181";"926944,03";"6891285,31";"0";"I";"0";"ACCROCHE";"A0031_M8";"1";"A31 - AUGNY";"MZ357.3";"2";"QT, TT, VT, LC, VC";"2010-02-24";"0";"DIRE"
"Obx54ySqFt_5849";"2019-01-01";"A0031";"5553";"297";"57";"N";"0";"296181";"926944,03";"6891285,31";"0";"302";"57";"N";"600";"301734";"930624,76";"6894842,84";"0";"I";"0";"ACCROCHE";"A0031_M9";"1";"A31 - METZ SUD";"MZO57.4";"2";"QT, TT, VT, LC, VC";"2018-05-01";"1";"DIRE"
"Obx54ySqFt_5850";"2019-01-01";"A0031";"5570";"307";"57";"N";"750";"306959";"932220,94";"6899307,49";"0";"313";"57";"N";"300";"312529";"931388,27";"6904806,75";"0";"I";"0";"ACCROCHE";"A0031_M11";"1";"A31 - ST REMY";"MZ057.6";"2";"QT, TT, VT, LC, VC";"2011-01-01";"1";"DIRE"
"Obx54ySqFt_5851";"2019-01-01";"A0031";"9693";"313";"57";"N";"300";"312529";"931388,27";"6904806,75";"0";"323";"57";"N";"0";"322222";"930904,29";"6914329,09";"0";"I";"0";"ACCROCHE";"A0031_M12";"1";"A31 - MAIZIERES LES METZ";"MZo57.3";"2";"QT, TT, VT, LC, VC";"2011-01-01";"1";"DIRE"
"Obx54ySqFt_5852";"2019-01-01";"A0031";"5092";"323";"57";"N";"0";"322222";"930904,29";"6914329,09";"0";"328";"57";"N";"100";"327314";"931560,93";"6919226,24";"0";"I";"0";"ACCROCHE";"A0031_M13";"1";"A31 - GUENANGE";"MZo57.8";"2";"QT, TT, VT, LC, VC";"2011-03-08";"1";"DIRE"
"Obx54ySqFt_5853";"2019-01-01";"A0031";"8696";"328";"57";"N";"100";"327314";"931560,93";"6919226,24";"0";"336";"57";"N";"800";"336010";"925693,43";"6922613,81";"0";"I";"0";"ACCROCHE";"A0031_M14";"1";"A31 - BEAUREGARD YUTZ";"MZO57.S";"2";"QT, TT, VT, LC, VC";"2020-06-01";"1";"DIRE"
"Obx54ySqFt_5854";"2019-01-01";"A0031";"12305";"336";"57";"N";"800";"336010";"925693,43";"6922613,81";"0";"348";"57";"N";"987";"348315";"926268,72";"6934824,63";"0";"I";"0";"ACCROCHE";"A0031_M15";"1";"A31 - KANFEN";"MZo57.2";"2";"QT, TT, VT, LC, VC";"2014-01-01";"1";"DIRE"
"Obx54ySqFt_5855";"2019-01-01";"A0033";"6323";"0";"54";"N";"0";"0";"929583,24";"6848798,75";"0";"6";"54";"N";"0";"6323";"931213,31";"6843102,58";"0";"I";"0";"ACCROCHE";"A0033_M1";"1";"A33 - CLAIRLIEU";"MZE54.3";"2";"QT, TT, VT, LC, VC";"2016-01-01";"1";"DIRE"
"Obx54ySqFt_5856";"2019-01-01";"A0033";"4025";"6";"54";"N";"0";"6323";"931213,31";"6843102,58";"0";"10";"54";"N";"50";"10348";"934384,65";"6841173,09";"0";"I";"0";"ACCROCHE";"A0033_M2";"1";"A33 – CHAVIGNY";"MZE54.H";"2";"QT, TT, VT, LC, VC";"2014-01-01";"0";"DIRE"
"Obx54ySqFt_5857";"2019-01-01";"A0033";"7468";"10";"54";"N";"50";"10348";"934384,65";"6841173,09";"0";"17";"54";"N";"500";"17816";"941416,43";"6840308,46";"0";"I";"0";"ACCROCHE";"A0033_M3";"1";"FLEVILLE2";"MZE54.K";"2";"QT, TT, VT, LC, VC";"2014-07-01";"0";"DIRE"
"Obx54ySqFt_5858";"2019-01-01";"A0033";"8469";"17";"54";"N";"500";"17816";"941416,43";"6840308,46";"0";"25";"54";"N";"998";"26285";"948729,57";"6839172,16";"0";"I";"0";"ACCROCHE";"A0033_M4";"1";"ROSIERES AUX SALINES";"MZE54.B";"2";"QT, TT, VT, LC, VC";"2015-01-01";"0";"DIRE"
"Obx54ySqFt_5859";"2019-01-01";"A0034";"15338";"17";"08";"N";"0";"0";"837624,02";"6956714,63";"0";"32";"08";"N";"463";"15338";"824095,01";"6960947,32";"0";"I";"0";"ACCROCHE";"A0034_M1";"1";"VIVIER";"MZA08.1";"2";"QT, TT, VT, LC, VC";"2009-05-31";"1";"DIRN"
"Obx54ySqFt_5860";"2019-01-01";"A0034";"13202";"32";"08";"N";"463";"15338";"824095,01";"6960947,32";"0";"45";"08";"N";"514";"28540";"817664,67";"6950632,05";"0";"I";"0";"ACCROCHE";"A0034_M2";"1";"YVERNAUMONT";"MZA08.C";"2";"QT, TT, VT, LC, VC";"2015-10-31";"0";"DIRN"
"Obx54ySqFt_5861";"2019-01-01";"A0034";"21755";"45";"08";"N";"514";"28540";"817664,67";"6950632,05";"0";"67";"08";"N";"380";"50295";"802538,3";"6937218,98";"0";"I";"0";"ACCROCHE";"A0034_M3";"1";"FAISSAULT";"MZA08.2";"2";"QT, TT, VT, LC, VC";"2015-06-26";"0";"DIRN"
"Obx54ySqFt_5862";"2019-01-01";"A0035";"14191";"202";"67";"N";"0";"0";"1076648,39";"6886104,76";"0";"215";"67";"N";"940";"14191";"1070628,73";"6873595,06";"0";"I";"0";"ACCROCHE";"A0035_M1";"1";"LAUTERBOURG";"MZB67.6";"3";"QT, TT, VT, LC, VC, KC";"2015-06-01";"0";"DIRE"
"Obx54ySqFt_5863";"2019-01-01";"A0035";"5600";"215";"67";"N";"940";"14191";"1070628,73";"6873595,06";"0";"221";"67";"N";"572";"19791";"1066785,7";"6869697,74";"0";"I";"0";"ACCROCHE";"A0035_M2";"1";"LEUTENHEIM";"MZB67.S";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRE"
"Obx54ySqFt_5864";"2019-01-01";"A0035";"10564";"221";"67";"N";"572";"19791";"1066785,7";"6869697,74";"0";"232";"67";"N";"173";"30355";"1061183,13";"6860935,93";"0";"I";"0";"ACCROCHE";"A0035_M3";"0";"";"";"";"";"2019-06-01";"0";"DIRE"
"Obx54ySqFt_5865";"2019-01-01";"A0035";"4047";"232";"67";"N";"173";"30355";"1061183,13";"6860935,93";"0";"236";"67";"N";"234";"34402";"1058783,52";"6857748,58";"0";"I";"0";"ACCROCHE";"A0035_M4";"0";"";"";"";"";"2020-06-01";"0";"DIRE"
"Obx54ySqFt_5866";"2019-01-01";"A0035";"9430";"236";"67";"N";"234";"34402";"1058783,52";"6857748,58";"0";"245";"67";"N";"700";"43832";"1051319,21";"6852575,03";"0";"I";"0";"ACCROCHE";"A0035_M5";"1";"HOERDT HIPPODROME";"MZB67.D";"2";"QT, TT, VT, LC, VC";"2016-01-28";"0";"DIRE"
"Obx54ySqFt_5867";"2019-01-01";"A0035";"2179";"309";"67";"N";"1006";"56764";"1046325,79";"6835838,68";"0";"312";"67";"N";"200";"58943";"1044301,45";"6835154,4";"0";"I";"0";"ACCROCHE";"A0035_M12";"1";"GENS DU VOYAGE";"MST67.I";"2";"QT, TT, VT, LC, VC";"2002-02-13";"0";"DIRE"
"Obx54ySqFt_5868";"2019-01-01";"A0035";"5772";"312";"67";"N";"200";"58943";"1044301,45";"6835154,4";"0";"319";"67";"N";"0";"64715";"1038719,8";"6834368,43";"0";"I";"0";"ACCROCHE";"A0035_M13";"1";"DUPPIGHEIM_S";"MST67.Z";"2";"QT, TT, VT, LC, VC";"2011-08-01";"0";"DIRE"
"Obx54ySqFt_5869";"2019-01-01";"A0035";"9742";"319";"67";"N";"0";"64715";"1038719,8";"6834368,43";"0";"418";"67";"N";"0";"74457";"1033536,31";"6826941,95";"0";"I";"0";"ACCROCHE";"A0035_M14";"1";"INNENHEIM_N";"MST67.6";"2";"QT, TT, VT, LC, VC";"2011-08-08";"0";"DIRE"
"Obx54ySqFt_5870";"2019-01-01";"A0035";"17467";"418";"67";"N";"0";"74457";"1033536,31";"6826941,95";"0";"435";"67";"N";"0";"91924";"1031961,96";"6811054,6";"0";"I";"0";"ACCROCHE";"A0035_M15";"1";"GERTWILLER";"MZB67.W";"2";"QT, TT, VT, LC, VC";"2009-11-01";"0";"DIRE"
"Obx54ySqFt_5871";"2019-01-01";"A0035";"7599";"435";"67";"N";"0";"91924";"1031961,96";"6811054,6";"0";"442";"67";"N";"600";"99523";"1027711,9";"6804940,36";"0";"I";"0";"ACCROCHE";"A0035_M16";"1";"SELESTAT NORD";"MZB67.5";"2";"QT, TT, VT, LC, VC";"2017-01-01";"0";"DIRE"
"Obx54ySqFt_5872";"2019-01-01";"A0035";"5852";"442";"67";"N";"600";"99523";"1027711,9";"6804940,36";"0";"1";"68";"N";"450";"105375";"1026789,6";"6799218,2";"0";"I";"0";"ACCROCHE";"A0035_M17";"0";"SELESTAT SUD";"";"";"";"2019-06-01";"0";"DIRE"
"Obx54ySqFt_5873";"2019-01-01";"A0035";"3561";"59";"68";"N";"0";"105409";"1024624,53";"6789279,82";"0";"63";"68";"N";"405";"108970";"1026061,88";"6786428,68";"0";"I";"0";"ACCROCHE";"A0035_M18";"1";"THIENHEIMER";"MZr68.1";"2";"QT, TT, VT, LC, VC";"2017-01-01";"0";"DIRE"
